Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
179566,Undergraduate students,22856,9669,13187,124,47,77,351,144,207,938,413,525,777,324,453,18,6,12,18487,7770,10717,763,319,444,381,166,215,1017,480,537
179566,Graduate student,4400,1650,2750,16,4,12,73,32,41,115,57,58,122,49,73,4,0,4,3099,1067,2032,109,49,60,109,62,47,753,330,423
179645,Total students enrolled for credit,4568,1587,2981,28,5,23,22,10,12,455,151,304,78,27,51,4,1,3,3731,1269,2462,0,0,0,238,120,118,12,4,8
179645,Undergraduate students,4568,1587,2981,28,5,23,22,10,12,455,151,304,78,27,51,4,1,3,3731,1269,2462,0,0,0,238,120,118,12,4,8
179715,Total students enrolled for credit,2452,746,1706,6,2,4,5,2,3,40,24,16,93,30,63,0,0,0,2198,642,1556,54,20,34,24,10,14,32,16,16
179715,Undergraduate students,2452,746,1706,6,2,4,5,2,3,40,24,16,93,30,63,0,0,0,2198,642,1556,54,20,34,24,10,14,32,16,16
179812,Total students enrolled for credit,1185,684,501,2,1,1,246,132,114,16,7,9,35,20,15,1,1,0,770,453,317,40,25,15,31,21,10,44,24,20
179812,Graduate student,1185,684,501,2,1,1,246,132,114,16,7,9,35,20,15,1,1,0,770,453,317,40,25,15,31,21,10,44,24,20
179867,Total students enrolled for credit,16703,8039,8664,46,17,29,2061,999,1062,1156,402,754,931,444,487,6,4,2,7935,3830,4105,488,214,274,757,351,406,3323,1778,1545
179867,Undergraduate students,8533,3883,4650,7,3,4,1387,657,730,702,259,443,601,267,334,0,0,0,4369,2054,2315,348,148,200,334,132,202,785,363,422
179867,Graduate student,8170,4156,4014,39,14,25,674,342,332,454,143,311,330,177,153,6,4,2,3566,1776,1790,140,66,74,423,219,204,2538,1415,1123
179894,Total students enrolled for credit,18213,8177,10036,65,39,26,449,250,199,6513,2229,4284,1423,674,749,47,26,21,7784,3980,3804,426,208,218,1037,507,530,469,264,205
179894,Undergraduate students,3732,1657,2075,8,5,3,73,34,39,642,251,391,213,90,123,3,1,2,2211,989,1222,120,54,66,340,170,170,122,63,59
179894,Graduate student,14481,6520,7961,57,34,23,376,216,160,5871,1978,3893,1210,584,626,44,25,19,5573,2991,2582,306,154,152,697,337,360,347,201,146
179946,Total students enrolled for credit,972,541,431,10,5,5,19,12,7,68,45,23,40,25,15,0,0,0,629,339,290,0,0,0,106,59,47,100,56,44
179946,Undergraduate students,972,541,431,10,5,5,19,12,7,68,45,23,40,25,15,0,0,0,629,339,290,0,0,0,106,59,47,100,56,44
179955,Total students enrolled for credit,1092,449,643,2,1,1,13,5,8,48,28,20,44,24,20,1,0,1,856,334,522,47,17,30,28,14,14,53,26,27
179955,Undergraduate students,1082,449,633,2,1,1,13,5,8,48,28,20,44,24,20,1,0,1,847,334,513,46,17,29,28,14,14,53,26,27
179955,Graduate student,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,1,0,1,0,0,0,0,0,0
179964,Total students enrolled for credit,2865,965,1900,13,5,8,9,3,6,119,43,76,65,24,41,1,0,1,2318,755,1563,35,6,29,246,92,154,59,37,22
179964,Undergraduate students,1131,287,844,6,3,3,7,1,6,51,17,34,48,17,31,1,0,1,895,197,698,22,5,17,54,17,37,47,30,17
179964,Graduate student,1734,678,1056,7,2,5,2,2,0,68,26,42,17,7,10,0,0,0,1423,558,865,13,1,12,192,75,117,12,7,5
179991,Total students enrolled for credit,39,0,39,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,35,0,35,1,0,1,0,0,0,0,0,0
179991,Undergraduate students,39,0,39,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,35,0,35,1,0,1,0,0,0,0,0,0
180054,Total students enrolled for credit,545,199,346,498,184,314,0,0,0,0,0,0,0,0,0,0,0,0,47,15,32,0,0,0,0,0,0,0,0,0
180054,Undergraduate students,545,199,346,498,184,314,0,0,0,0,0,0,0,0,0,0,0,0,47,15,32,0,0,0,0,0,0,0,0,0
180063,Total students enrolled for credit,58,1,57,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,55,1,54,0,0,0,0,0,0,0,0,0
180063,Undergraduate students,58,1,57,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,55,1,54,0,0,0,0,0,0,0,0,0
180081,Total students enrolled for credit,975,497,478,23,10,13,9,4,5,6,4,2,24,10,14,0,0,0,823,423,400,6,1,5,82,43,39,2,2,0
180081,Undergraduate students,975,497,478,23,10,13,9,4,5,6,4,2,24,10,14,0,0,0,823,423,400,6,1,5,82,43,39,2,2,0
180090,Total students enrolled for credit,120,5,115,2,0,2,2,0,2,1,1,0,1,0,1,1,0,1,113,4,109,0,0,0,0,0,0,0,0,0
180090,Undergraduate students,120,5,115,2,0,2,2,0,2,1,1,0,1,0,1,1,0,1,113,4,109,0,0,0,0,0,0,0,0,0
180106,Total students enrolled for credit,1415,588,827,12,6,6,20,9,11,7,6,1,78,35,43,2,0,2,1111,445,666,39,22,17,120,49,71,26,16,10
180106,Undergraduate students,1415,588,827,12,6,6,20,9,11,7,6,1,78,35,43,2,0,2,1111,445,666,39,22,17,120,49,71,26,16,10
180151,Total students enrolled for credit,553,290,263,11,6,5,26,23,3,15,7,8,15,5,10,2,2,0,311,124,187,11,8,3,162,115,47,0,0,0
180151,Undergraduate students,553,290,263,11,6,5,26,23,3,15,7,8,15,5,10,2,2,0,311,124,187,11,8,3,162,115,47,0,0,0
180160,Total students enrolled for credit,449,190,259,372,163,209,0,0,0,0,0,0,0,0,0,0,0,0,77,27,50,0,0,0,0,0,0,0,0,0
180160,Undergraduate students,449,190,259,372,163,209,0,0,0,0,0,0,0,0,0,0,0,0,77,27,50,0,0,0,0,0,0,0,0,0
180179,Total students enrolled for credit,5559,2074,3485,241,83,158,51,18,33,64,41,23,304,112,192,15,4,11,4499,1613,2886,173,64,109,85,38,47,127,101,26
180179,Undergraduate students,5049,1965,3084,223,81,142,44,18,26,62,39,23,284,108,176,14,4,10,4064,1522,2542,163,63,100,76,32,44,119,98,21
180179,Graduate student,510,109,401,18,2,16,7,0,7,2,2,0,20,4,16,1,0,1,435,91,344,10,1,9,9,6,3,8,3,5
180197,Total students enrolled for credit,3583,1543,2040,73,38,35,47,15,32,19,9,10,30,13,17,12,9,3,2854,1214,1640,0,0,0,526,235,291,22,10,12
180197,Undergraduate students,3583,1543,2040,73,38,35,47,15,32,19,9,10,30,13,17,12,9,3,2854,1214,1640,0,0,0,526,235,291,22,10,12
180203,Total students enrolled for credit,282,127,155,260,125,135,0,0,0,1,1,0,0,0,0,0,0,0,21,1,20,0,0,0,0,0,0,0,0,0
180203,Undergraduate students,282,127,155,260,125,135,0,0,0,1,1,0,0,0,0,0,0,0,21,1,20,0,0,0,0,0,0,0,0,0
180212,Total students enrolled for credit,558,219,339,449,171,278,7,2,5,3,3,0,6,3,3,0,0,0,93,40,53,0,0,0,0,0,0,0,0,0
180212,Undergraduate students,558,219,339,449,171,278,7,2,5,3,3,0,6,3,3,0,0,0,93,40,53,0,0,0,0,0,0,0,0,0
180249,Total students enrolled for credit,2544,743,1801,118,40,78,25,7,18,41,17,24,139,36,103,6,3,3,2008,574,1434,83,42,41,124,24,100,0,0,0
180249,Undergraduate students,2544,743,1801,118,40,78,25,7,18,41,17,24,139,36,103,6,3,3,2008,574,1434,83,42,41,124,24,100,0,0,0
180258,Total students enrolled for credit,1230,351,879,15,7,8,57,10,47,25,17,8,105,29,76,10,1,9,846,222,624,40,9,31,103,32,71,29,24,5
180258,Undergraduate students,1113,323,790,12,5,7,54,9,45,23,16,7,104,29,75,8,1,7,768,204,564,37,8,29,79,28,51,28,23,5
180258,Graduate student,117,28,89,3,2,1,3,1,2,2,1,1,1,0,1,2,0,2,78,18,60,3,1,2,24,4,20,1,1,0
180276,Total students enrolled for credit,1790,765,1025,67,25,42,21,10,11,13,9,4,36,14,22,0,0,0,1545,645,900,14,10,4,94,52,42,0,0,0
180276,Undergraduate students,1790,765,1025,67,25,42,21,10,11,13,9,4,36,14,22,0,0,0,1545,645,900,14,10,4,94,52,42,0,0,0
180328,Total students enrolled for credit,492,213,279,464,205,259,0,0,0,0,0,0,8,2,6,0,0,0,20,6,14,0,0,0,0,0,0,0,0,0
180328,Undergraduate students,492,213,279,464,205,259,0,0,0,0,0,0,8,2,6,0,0,0,20,6,14,0,0,0,0,0,0,0,0,0
180373,Total students enrolled for credit,789,254,535,26,9,17,10,0,10,20,7,13,20,9,11,0,0,0,692,217,475,2,1,1,1,1,0,18,10,8
180373,Undergraduate students,789,254,535,26,9,17,10,0,10,20,7,13,20,9,11,0,0,0,692,217,475,2,1,1,1,1,0,18,10,8
180416,Total students enrolled for credit,2478,1678,800,37,23,14,19,11,8,26,20,6,39,28,11,0,0,0,1773,1108,665,4,4,0,302,225,77,278,259,19
180416,Undergraduate students,2155,1464,691,34,22,12,17,9,8,19,15,4,29,19,10,0,0,0,1536,949,587,4,4,0,257,202,55,259,244,15
180416,Graduate student,323,214,109,3,1,2,2,2,0,7,5,2,10,9,1,0,0,0,237,159,78,0,0,0,45,23,22,19,15,4
180461,Total students enrolled for credit,18420,9844,8576,308,125,183,173,76,97,119,81,38,666,323,343,24,14,10,15260,8113,7147,688,357,331,329,174,155,853,581,272
180461,Undergraduate students,15848,8704,7144,249,108,141,146,65,81,107,74,33,601,302,299,21,13,8,13197,7219,5978,605,324,281,259,142,117,663,457,206
180461,Graduate student,2572,1140,1432,59,17,42,27,11,16,12,7,5,65,21,44,3,1,2,2063,894,1169,83,33,50,70,32,38,190,124,66
180489,Total students enrolled for credit,14683,6444,8239,436,181,255,489,176,313,122,84,38,631,282,349,39,22,17,10626,4629,5997,519,216,303,1289,597,692,532,257,275
180489,Undergraduate students,11671,5332,6339,348,149,199,139,58,81,106,76,30,550,253,297,31,18,13,8607,3892,4715,447,189,258,1098,516,582,345,181,164
180489,Graduate student,3012,1112,1900,88,32,56,350,118,232,16,8,8,81,29,52,8,4,4,2019,737,1282,72,27,45,191,81,110,187,76,111
180522,Total students enrolled for credit,1563,807,756,210,82,128,4,2,2,39,35,4,33,16,17,8,5,3,1176,613,563,10,9,1,61,35,26,22,10,12
180522,Undergraduate students,1476,777,699,193,75,118,3,1,2,38,34,4,32,15,17,8,5,3,1113,595,518,10,9,1,58,33,25,21,10,11
180522,Graduate student,87,30,57,17,7,10,1,1,0,1,1,0,1,1,0,0,0,0,63,18,45,0,0,0,3,2,1,1,0,1
180595,Total students enrolled for credit,1067,537,530,27,9,18,9,4,5,23,18,5,61,24,37,12,10,2,815,406,409,44,24,20,41,19,22,35,23,12
180595,Undergraduate students,960,494,466,25,8,17,8,4,4,23,18,5,54,20,34,12,10,2,735,374,361,42,23,19,26,14,12,35,23,12
180595,Graduate student,107,43,64,2,1,1,1,0,1,0,0,0,7,4,3,0,0,0,80,32,48,2,1,1,15,5,10,0,0,0
180647,Total students enrolled for credit,1214,431,783,778,291,487,2,0,2,9,4,5,64,21,43,5,3,2,289,85,204,67,27,40,0,0,0,0,0,0
180647,Undergraduate students,1214,431,783,778,291,487,2,0,2,9,4,5,64,21,43,5,3,2,289,85,204,67,27,40,0,0,0,0,0,0
180692,Total students enrolled for credit,1780,657,1123,64,21,43,10,2,8,21,17,4,78,28,50,4,2,2,1469,551,918,32,15,17,101,21,80,1,0,1
180692,Undergraduate students,1780,657,1123,64,21,43,10,2,8,21,17,4,78,28,50,4,2,2,1469,551,918,32,15,17,101,21,80,1,0,1
180771,Total students enrolled for credit,34,0,34,0,0,0,0,0,0,2,0,2,6,0,6,0,0,0,21,0,21,1,0,1,4,0,4,0,0,0
180771,Undergraduate students,34,0,34,0,0,0,0,0,0,2,0,2,6,0,6,0,0,0,21,0,21,1,0,1,4,0,4,0,0,0
180814,Total students enrolled for credit,10975,5399,5576,68,29,39,280,165,115,1239,571,668,2035,955,1080,25,11,14,5248,2543,2705,238,116,122,1290,635,655,552,374,178
180814,Undergraduate students,6903,3426,3477,46,21,25,134,79,55,675,336,339,1312,644,668,19,8,11,3385,1656,1729,158,75,83,928,460,468,246,147,99
180814,Graduate student,4072,1973,2099,22,8,14,146,86,60,564,235,329,723,311,412,6,3,3,1863,887,976,80,41,39,362,175,187,306,227,79
180832,Total students enrolled for credit,1676,232,1444,11,0,11,40,9,31,75,14,61,63,8,55,4,0,4,1294,169,1125,34,4,30,155,28,127,0,0,0
180832,Undergraduate students,925,132,793,7,0,7,28,6,22,53,11,42,45,4,41,2,0,2,678,91,587,25,3,22,87,17,70,0,0,0
180832,Graduate student,751,100,651,4,0,4,12,3,9,22,3,19,18,4,14,2,0,2,616,78,538,9,1,8,68,11,57,0,0,0
180878,Total students enrolled for credit,816,90,726,3,0,3,25,4,21,6,0,6,25,3,22,1,0,1,743,79,664,13,4,9,0,0,0,0,0,0
180878,Undergraduate students,678,60,618,3,0,3,23,4,19,5,0,5,21,1,20,0,0,0,618,54,564,8,1,7,0,0,0,0,0,0
180878,Graduate student,138,30,108,0,0,0,2,0,2,1,0,1,4,2,2,1,0,1,125,25,100,5,3,2,0,0,0,0,0,0
180902,Total students enrolled for credit,9238,3695,5543,65,27,38,135,65,70,191,105,86,1819,793,1026,16,6,10,6922,2665,4257,22,8,14,68,26,42,0,0,0
180902,Undergraduate students,9238,3695,5543,65,27,38,135,65,70,191,105,86,1819,793,1026,16,6,10,6922,2665,4257,22,8,14,68,26,42,0,0,0
180948,Total students enrolled for credit,3667,1458,2209,36,22,14,38,20,18,135,83,52,250,113,137,16,5,11,2922,1083,1839,116,53,63,86,48,38,68,31,37
180948,Undergraduate students,2737,1101,1636,28,15,13,23,12,11,97,66,31,215,99,116,14,5,9,2138,794,1344,96,45,51,71,43,28,55,22,33
180948,Graduate student,930,357,573,8,7,1,15,8,7,38,17,21,35,14,21,2,0,2,784,289,495,20,8,12,15,5,10,13,9,4
180957,Total students enrolled for credit,136,74,62,4,2,2,0,0,0,32,23,9,24,21,3,0,0,0,62,19,43,10,6,4,2,1,1,2,2,0
180957,Undergraduate students,136,74,62,4,2,2,0,0,0,32,23,9,24,21,3,0,0,0,62,19,43,10,6,4,2,1,1,2,2,0
180984,Total students enrolled for credit,3171,1205,1966,14,5,9,49,14,35,246,98,148,201,88,113,10,4,6,2118,823,1295,31,11,20,502,162,340,0,0,0
180984,Undergraduate students,1883,874,1009,4,3,1,26,10,16,75,52,23,103,67,36,4,2,2,1451,638,813,20,6,14,200,96,104,0,0,0
180984,Graduate student,1288,331,957,10,2,8,23,4,19,171,46,125,98,21,77,6,2,4,667,185,482,11,5,6,302,66,236,0,0,0
181002,Total students enrolled for credit,10190,4455,5735,44,18,26,803,340,463,358,157,201,693,326,367,26,7,19,6979,2881,4098,350,147,203,632,401,231,305,178,127
181002,Undergraduate students,4626,1975,2651,18,9,9,406,167,239,124,56,68,381,174,207,19,5,14,3198,1331,1867,192,84,108,143,59,84,145,90,55
181002,Graduate student,5564,2480,3084,26,9,17,397,173,224,234,101,133,312,152,160,7,2,5,3781,1550,2231,158,63,95,489,342,147,160,88,72
181020,Total students enrolled for credit,1072,554,518,2,0,2,10,5,5,30,27,3,87,51,36,2,1,1,869,428,441,36,18,18,12,7,5,24,17,7
181020,Undergraduate students,1072,554,518,2,0,2,10,5,5,30,27,3,87,51,36,2,1,1,869,428,441,36,18,18,12,7,5,24,17,7
181093,Total students enrolled for credit,501,205,296,7,3,4,12,7,5,60,29,31,37,15,22,2,1,1,370,147,223,9,2,7,0,0,0,4,1,3
181093,Undergraduate students,393,168,225,6,3,3,11,6,5,47,22,25,33,14,19,2,1,1,283,119,164,8,2,6,0,0,0,3,1,2
181093,Graduate student,108,37,71,1,0,1,1,1,0,13,7,6,4,1,3,0,0,0,87,28,59,1,0,1,0,0,0,1,0,1
181127,Total students enrolled for credit,1336,637,699,4,4,0,13,8,5,42,32,10,92,53,39,9,7,2,1074,477,597,45,29,16,57,27,30,0,0,0
181127,Undergraduate students,1227,618,609,4,4,0,12,7,5,42,32,10,91,52,39,8,7,1,987,463,524,42,27,15,41,26,15,0,0,0
181127,Graduate student,109,19,90,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,87,14,73,3,2,1,16,1,15,0,0,0
181145,Total students enrolled for credit,28,3,25,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,24,3,21,1,0,1,0,0,0,0,0,0
181145,Undergraduate students,28,3,25,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,24,3,21,1,0,1,0,0,0,0,0,0
181190,Total students enrolled for credit,347,13,334,4,0,4,5,1,4,10,1,9,61,3,58,0,0,0,245,6,239,16,2,14,6,0,6,0,0,0
181190,Undergraduate students,347,13,334,4,0,4,5,1,4,10,1,9,61,3,58,0,0,0,245,6,239,16,2,14,6,0,6,0,0,0
181215,Total students enrolled for credit,8264,3232,5032,14,5,9,77,34,43,155,96,59,718,291,427,7,3,4,6602,2440,4162,166,68,98,42,20,22,483,275,208
181215,Undergraduate students,5614,2393,3221,6,3,3,54,26,28,107,80,27,593,247,346,4,3,1,4255,1704,2551,122,56,66,20,11,9,453,263,190
181215,Graduate student,2650,839,1811,8,2,6,23,8,15,48,16,32,125,44,81,3,0,3,2347,736,1611,44,12,32,22,9,13,30,12,18
181242,Total students enrolled for credit,569,123,446,8,0,8,11,3,8,47,14,33,37,12,25,1,1,0,382,81,301,8,0,8,75,12,63,0,0,0
181242,Undergraduate students,512,104,408,8,0,8,8,1,7,39,9,30,36,12,24,1,1,0,342,70,272,8,0,8,70,11,59,0,0,0
181242,Graduate student,57,19,38,0,0,0,3,2,1,8,5,3,1,0,1,0,0,0,40,11,29,0,0,0,5,1,4,0,0,0
181297,Total students enrolled for credit,1357,128,1229,2,0,2,26,5,21,51,7,44,56,4,52,2,0,2,1147,106,1041,33,3,30,37,3,34,3,0,3
181297,Undergraduate students,1055,107,948,2,0,2,22,5,17,44,6,38,46,4,42,2,0,2,885,87,798,20,2,18,31,3,28,3,0,3
181297,Graduate student,302,21,281,0,0,0,4,0,4,7,1,6,10,0,10,0,0,0,262,19,243,13,1,12,6,0,6,0,0,0
181303,Total students enrolled for credit,25030,11344,13686,221,104,117,947,445,502,2894,1296,1598,2984,1256,1728,50,18,32,15315,6945,8370,710,280,430,1739,900,839,170,100,70
181303,Undergraduate students,25030,11344,13686,221,104,117,947,445,502,2894,1296,1598,2984,1256,1728,50,18,32,15315,6945,8370,710,280,430,1739,900,839,170,100,70
181312,Total students enrolled for credit,3850,1734,2116,27,12,15,22,6,16,69,44,25,259,117,142,4,2,2,3227,1386,1841,51,21,30,152,120,32,39,26,13
181312,Undergraduate students,3850,1734,2116,27,12,15,22,6,16,69,44,25,259,117,142,4,2,2,3227,1386,1841,51,21,30,152,120,32,39,26,13
181330,Total students enrolled for credit,1941,953,988,6,2,4,16,7,9,51,31,20,40,22,18,35,20,15,633,289,344,193,116,77,922,427,495,45,39,6
181330,Undergraduate students,1737,845,892,6,2,4,15,6,9,35,24,11,38,21,17,34,20,14,496,219,277,183,109,74,893,413,480,37,31,6
181330,Graduate student,204,108,96,0,0,0,1,1,0,16,7,9,2,1,1,1,0,1,137,70,67,10,7,3,29,14,15,8,8,0
181376,Total students enrolled for credit,115,61,54,0,0,0,1,1,0,2,0,2,4,3,1,0,0,0,105,56,49,2,1,1,1,0,1,0,0,0
181376,Undergraduate students,115,61,54,0,0,0,1,1,0,2,0,2,4,3,1,0,0,0,105,56,49,2,1,1,1,0,1,0,0,0
181394,Total students enrolled for credit,18629,8638,9991,40,18,22,622,276,346,1083,477,606,1927,840,1087,21,10,11,12750,5850,6900,741,300,441,351,187,164,1094,680,414
181394,Undergraduate students,14610,7038,7572,35,15,20,536,231,305,938,406,532,1760,781,979,19,9,10,9793,4809,4984,645,262,383,301,162,139,583,363,220
181394,Graduate student,4019,1600,2419,5,3,2,86,45,41,145,71,74,167,59,108,2,1,1,2957,1041,1916,96,38,58,50,25,25,511,317,194
181400,Total students enrolled for credit,869,165,704,6,2,4,7,2,5,187,35,152,57,7,50,0,0,0,456,86,370,29,4,25,126,29,97,1,0,1
181400,Undergraduate students,776,148,628,5,1,4,7,2,5,163,30,133,52,7,45,0,0,0,416,81,335,27,3,24,105,24,81,1,0,1
181400,Graduate student,93,17,76,1,1,0,0,0,0,24,5,19,5,0,5,0,0,0,40,5,35,2,1,1,21,5,16,0,0,0
181419,Total students enrolled for credit,280,83,197,269,79,190,0,0,0,1,0,1,5,3,2,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
181419,Undergraduate students,280,83,197,269,79,190,0,0,0,1,0,1,5,3,2,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
181428,Total students enrolled for credit,4132,1436,2696,8,2,6,188,71,117,96,36,60,165,55,110,1,0,1,3190,1057,2133,83,23,60,74,30,44,327,162,165
181428,Undergraduate students,1018,138,880,1,0,1,33,2,31,19,10,9,72,16,56,0,0,0,854,105,749,26,2,24,8,2,6,5,1,4
181428,Graduate student,3114,1298,1816,7,2,5,155,69,86,77,26,51,93,39,54,1,0,1,2336,952,1384,57,21,36,66,28,38,322,161,161
181446,Total students enrolled for credit,4095,1525,2570,8,3,5,61,18,43,73,30,43,178,60,118,2,1,1,2362,910,1452,72,33,39,1288,453,835,51,17,34
181446,Undergraduate students,3703,1420,2283,8,3,5,54,13,41,60,27,33,171,58,113,1,1,0,2031,822,1209,65,32,33,1268,448,820,45,16,29
181446,Graduate student,392,105,287,0,0,0,7,5,2,13,3,10,7,2,5,1,0,1,331,88,243,7,1,6,20,5,15,6,1,5
181464,Total students enrolled for credit,28550,14644,13906,57,26,31,691,327,364,787,416,371,1524,710,814,19,11,8,21019,10597,10422,776,373,403,563,296,267,3114,1888,1226
181464,Undergraduate students,22012,11510,10502,45,21,24,558,260,298,638,350,288,1286,613,673,15,8,7,16559,8594,7965,657,312,345,301,167,134,1953,1185,768
181464,Graduate student,6538,3134,3404,12,5,7,133,67,66,149,66,83,238,97,141,4,3,1,4460,2003,2457,119,61,58,262,129,133,1161,703,458
181491,Total students enrolled for credit,6605,3287,3318,65,33,32,34,11,23,90,48,42,660,256,404,3,0,3,5309,2690,2619,97,40,57,273,167,106,74,42,32
181491,Undergraduate students,6605,3287,3318,65,33,32,34,11,23,90,48,42,660,256,404,3,0,3,5309,2690,2619,97,40,57,273,167,106,74,42,32
181534,Total students enrolled for credit,3499,1391,2108,15,6,9,36,15,21,168,114,54,192,83,109,3,0,3,2891,1095,1796,90,36,54,76,30,46,28,12,16
181534,Undergraduate students,2946,1233,1713,12,5,7,30,14,16,154,105,49,178,78,100,3,0,3,2391,955,1436,84,34,50,67,30,37,27,12,15
181534,Graduate student,553,158,395,3,1,2,6,1,5,14,9,5,14,5,9,0,0,0,500,140,360,6,2,4,9,0,9,1,0,1
181543,Total students enrolled for credit,42,22,20,1,0,1,1,0,1,0,0,0,2,2,0,0,0,0,37,20,17,1,0,1,0,0,0,0,0,0
181543,Undergraduate students,42,22,20,1,0,1,1,0,1,0,0,0,2,2,0,0,0,0,37,20,17,1,0,1,0,0,0,0,0,0
181604,Total students enrolled for credit,1140,12,1128,11,0,11,28,0,28,86,2,84,133,1,132,2,0,2,848,9,839,27,0,27,0,0,0,5,0,5
181604,Undergraduate students,825,0,825,9,0,9,20,0,20,64,0,64,117,0,117,2,0,2,589,0,589,19,0,19,0,0,0,5,0,5
181604,Graduate student,315,12,303,2,0,2,8,0,8,22,2,20,16,1,15,0,0,0,259,9,250,8,0,8,0,0,0,0,0,0
181640,Total students enrolled for credit,14755,6840,7915,90,36,54,757,379,378,798,355,443,1069,439,630,27,13,14,11573,5448,6125,348,125,223,91,44,47,2,1,1
181640,Undergraduate students,14755,6840,7915,90,36,54,757,379,378,798,355,443,1069,439,630,27,13,14,11573,5448,6125,348,125,223,91,44,47,2,1,1
181738,Total students enrolled for credit,997,392,605,3,3,0,43,21,22,62,26,36,175,67,108,9,3,6,552,208,344,46,17,29,33,12,21,74,35,39
181738,Undergraduate students,909,369,540,3,3,0,38,21,17,61,25,36,174,66,108,9,3,6,480,191,289,40,15,25,32,11,21,72,34,38
181738,Graduate student,88,23,65,0,0,0,5,0,5,1,1,0,1,1,0,0,0,0,72,17,55,6,2,4,1,1,0,2,1,1
181765,Total students enrolled for credit,388,170,218,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,368,159,209,16,10,6,0,0,0,0,0,0
181765,Undergraduate students,388,170,218,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,368,159,209,16,10,6,0,0,0,0,0,0
181783,Total students enrolled for credit,4173,1743,2430,37,9,28,22,12,10,106,78,28,347,144,203,1,0,1,3448,1399,2049,93,41,52,104,47,57,15,13,2
181783,Undergraduate students,3287,1408,1879,30,6,24,18,11,7,92,74,18,318,131,187,1,0,1,2663,1102,1561,76,37,39,76,36,40,13,11,2
181783,Graduate student,886,335,551,7,3,4,4,1,3,14,4,10,29,13,16,0,0,0,785,297,488,17,4,13,28,11,17,2,2,0
181817,Total students enrolled for credit,2635,1024,1611,46,10,36,42,25,17,67,34,33,513,200,313,10,0,10,1787,659,1128,0,0,0,72,31,41,98,65,33
181817,Undergraduate students,2635,1024,1611,46,10,36,42,25,17,67,34,33,513,200,313,10,0,10,1787,659,1128,0,0,0,72,31,41,98,65,33
181853,Total students enrolled for credit,478,256,222,6,1,5,6,2,4,75,58,17,80,40,40,0,0,0,277,136,141,0,0,0,25,10,15,9,9,0
181853,Undergraduate students,431,237,194,6,1,5,5,1,4,72,55,17,74,39,35,0,0,0,244,125,119,0,0,0,21,7,14,9,9,0
181853,Graduate student,47,19,28,0,0,0,1,1,0,3,3,0,6,1,5,0,0,0,33,11,22,0,0,0,4,3,1,0,0,0
181880,Total students enrolled for credit,359,29,330,4,0,4,20,5,15,55,3,52,92,8,84,3,1,2,127,10,117,40,0,40,18,2,16,0,0,0
181880,Undergraduate students,359,29,330,4,0,4,20,5,15,55,3,52,92,8,84,3,1,2,127,10,117,40,0,40,18,2,16,0,0,0
181941,Total students enrolled for credit,643,353,290,19,7,12,22,10,12,18,10,8,207,97,110,3,1,2,354,214,140,10,6,4,10,8,2,0,0,0
181941,Undergraduate students,643,353,290,19,7,12,22,10,12,18,10,8,207,97,110,3,1,2,354,214,140,10,6,4,10,8,2,0,0,0
182005,Total students enrolled for credit,47602,20351,27251,266,115,151,4692,1941,2751,5377,2190,3187,14098,5845,8253,802,360,442,15773,7037,8736,2624,1117,1507,3537,1554,1983,433,192,241
182005,Undergraduate students,47602,20351,27251,266,115,151,4692,1941,2751,5377,2190,3187,14098,5845,8253,802,360,442,15773,7037,8736,2624,1117,1507,3537,1554,1983,433,192,241
182111,Total students enrolled for credit,1108,616,492,11,9,2,52,30,22,147,67,80,354,210,144,5,3,2,242,142,100,12,3,9,281,149,132,4,3,1
182111,Undergraduate students,1108,616,492,11,9,2,52,30,22,147,67,80,354,210,144,5,3,2,242,142,100,12,3,9,281,149,132,4,3,1
182148,Total students enrolled for credit,425,83,342,6,1,5,45,14,31,70,17,53,81,15,66,23,3,20,128,23,105,32,5,27,40,5,35,0,0,0
182148,Undergraduate students,425,83,342,6,1,5,45,14,31,70,17,53,81,15,66,23,3,20,128,23,105,32,5,27,40,5,35,0,0,0
